"Country","Annees","Deces","Malades"
"Benin","2017","2182","1573163"
"Burkina Faso","2017","4144","10225459"
"Côte d’Ivoire","2017","3222","3274683"
"Gambia","2017","54","69931"
"Ghana","2017","599","4348694"
"Guinea","2017","1174","1335323"
"Guinea-Bissau","2017","296","89784"
"Liberia","2017","758",""
"Mali","2017","1050","1918376"
"Niger","2017","2316","2638580"
"Nigeria","2017","","11571958"
"Senegal","2017","284","395706"
"Sierra Leone","2017","1298","1651236"
"Togo","2017","995","1209034"
