"Country","Annees","Deces","Malades"
"Benin","2000","",""
"Benin","2001","468",""
"Benin","2002","707",""
"Benin","2003","560",""
"Benin","2004","944",""
"Benin","2005","322",""
"Benin","2006","1226",""
"Benin","2007","1290",""
"Benin","2008","918",""
"Benin","2009","1375","889597"
"Benin","2010","964",""
"Benin","2011","1753","422968"
"Benin","2012","2261","705839"
"Benin","2013","2288","1078834"
"Benin","2014","1869","1044235"
"Benin","2015","1416","1268347"
"Benin","2016","1646","1324576"
"Benin","2017","2182","1573163"
