"Country","Annees","Deces","Malades"
"Côte d’Ivoire","2000","","15705"
"Côte d’Ivoire","2001","","11936"
"Côte d’Ivoire","2002","","7628"
"Côte d’Ivoire","2003","","1585"
"Côte d’Ivoire","2004","","293"
"Côte d’Ivoire","2005","","67"
"Côte d’Ivoire","2006","",""
"Côte d’Ivoire","2007","797",""
"Côte d’Ivoire","2008","1249","3527"
"Côte d’Ivoire","2009","18156","7388"
"Côte d’Ivoire","2010","1023","62726"
"Côte d’Ivoire","2011","1389","29976"
"Côte d’Ivoire","2012","1534","1140627"
"Côte d’Ivoire","2013","3261","2506953"
"Côte d’Ivoire","2014","4069","3712831"
"Côte d’Ivoire","2015","2604","3375904"
"Côte d’Ivoire","2016","3340","3471024"
"Côte d’Ivoire","2017","3222","3274683"
