"Country","Annees","Deces","Malades"
"Gambia","2000","",""
"Gambia","2001","275",""
"Gambia","2002","259",""
"Gambia","2003","192",""
"Gambia","2004","153",""
"Gambia","2005","426",""
"Gambia","2006","150",""
"Gambia","2007","424",""
"Gambia","2008","403","39164"
"Gambia","2009","240","50378"
"Gambia","2010","151","116353"
"Gambia","2011","440","261967"
"Gambia","2012","289","300363"
"Gambia","2013","262","240792"
"Gambia","2014","170","166229"
"Gambia","2015","167","240382"
"Gambia","2016","79","153774"
"Gambia","2017","54","69931"
