"Country","Annees","Deces","Malades"
"Ghana","2000","6108",""
"Ghana","2001","1717",""
"Ghana","2002","2376",""
"Ghana","2003","2103",""
"Ghana","2004","1575","475441"
"Ghana","2005","2037","655093"
"Ghana","2006","3125","472255"
"Ghana","2007","4622","476484"
"Ghana","2008","3889","1094483"
"Ghana","2009","3378","1104370"
"Ghana","2010","3859","1071637"
"Ghana","2011","3259","1041260"
"Ghana","2012","2855","3755166"
"Ghana","2013","2506","1639451"
"Ghana","2014","2200","3415912"
"Ghana","2015","2137","4319919"
"Ghana","2016","1264","4535167"
"Ghana","2017","599","4348694"
