"Country","Annees","Deces","Malades"
"Guinea","2000","626","4800"
"Guinea","2001","517","6238"
"Guinea","2002","440","16561"
"Guinea","2003","586","107925"
"Guinea","2004","528","103069"
"Guinea","2005","490","50452"
"Guinea","2006","","54227"
"Guinea","2007","472","44518"
"Guinea","2008","441","33405"
"Guinea","2009","586","35841"
"Guinea","2010","735","20936"
"Guinea","2011","743","95574"
"Guinea","2012","979","317200"
"Guinea","2013","108","211257"
"Guinea","2014","1067","660207"
"Guinea","2015","846","810979"
"Guinea","2016","867","992146"
"Guinea","2017","1174","1335323"
