"Country","Annees","Deces","Malades"
"Guinea-Bissau","2000","",""
"Guinea-Bissau","2001","635",""
"Guinea-Bissau","2002","780",""
"Guinea-Bissau","2003","1137",""
"Guinea-Bissau","2004","565",""
"Guinea-Bissau","2005","565","14659"
"Guinea-Bissau","2006","507","15120"
"Guinea-Bissau","2007","","14284"
"Guinea-Bissau","2008","487","11299"
"Guinea-Bissau","2009","369","11757"
"Guinea-Bissau","2010","296","50391"
"Guinea-Bissau","2011","472","71982"
"Guinea-Bissau","2012","370","50381"
"Guinea-Bissau","2013","418","54584"
"Guinea-Bissau","2014","357","93431"
"Guinea-Bissau","2015","477","142309"
"Guinea-Bissau","2016","191","150903"
"Guinea-Bissau","2017","296","89784"
