"Country","Annees","Deces","Malades"
"Liberia","2000","",""
"Liberia","2001","",""
"Liberia","2002","",""
"Liberia","2003","",""
"Liberia","2004","",""
"Liberia","2005","41","44875"
"Liberia","2006","877","761415"
"Liberia","2007","310","492272"
"Liberia","2008","345","606952"
"Liberia","2009","1706","839581"
"Liberia","2010","1422","922173"
"Liberia","2011","","1915762"
"Liberia","2012","1725","1407455"
"Liberia","2013","1191","1244220"
"Liberia","2014","2288","864204"
"Liberia","2015","1379","931086"
"Liberia","2016","1259","1191137"
"Liberia","2017","758",""
