"Country","Annees","Deces","Malades"
"Mali","2000","748",""
"Mali","2001","562",""
"Mali","2002","826",""
"Mali","2003","1309",""
"Mali","2004","1012",""
"Mali","2005","1285",""
"Mali","2006","1914",""
"Mali","2007","1782",""
"Mali","2008","1227",""
"Mali","2009","2331",""
"Mali","2010","3006","227482"
"Mali","2011","2128","307035"
"Mali","2012","1894","886482"
"Mali","2013","1680","1367218"
"Mali","2014","2309","2039853"
"Mali","2015","1544","2295611"
"Mali","2016","1344","2156282"
"Mali","2017","1050","1918376"
