"Country","Annees","Deces","Malades"
"Niger","2000","1244",""
"Niger","2001","2366",""
"Niger","2002","2769",""
"Niger","2003","2248","56460"
"Niger","2004","1333","76030"
"Niger","2005","2060","56043"
"Niger","2006","1150","39560"
"Niger","2007","1358","249027"
"Niger","2008","2461","496858"
"Niger","2009","2159","309675"
"Niger","2010","3929","620058"
"Niger","2011","2802","780876"
"Niger","2012","2825","842343"
"Niger","2013","2209","2353422"
"Niger","2014","2691","1953309"
"Niger","2015","2778","2272000"
"Niger","2016","2226","4148167"
"Niger","2017","2316","2638580"
