"Country","Annees","Deces","Malades"
"Nigeria","2000","",""
"Nigeria","2001","4317",""
"Nigeria","2002","4092",""
"Nigeria","2003","5343",""
"Nigeria","2004","6032",""
"Nigeria","2005","6494",""
"Nigeria","2006","6586",""
"Nigeria","2007","10289",""
"Nigeria","2008","8677","143079"
"Nigeria","2009","7522","479845"
"Nigeria","2010","4238","551187"
"Nigeria","2011","3353",""
"Nigeria","2012","7734",""
"Nigeria","2013","7878",""
"Nigeria","2014","6082","7826954"
"Nigeria","2015","","6850782"
"Nigeria","2016","","9234387"
"Nigeria","2017","","11571958"
